	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Pard3bos11	0.004524637	0.482728267	0.133	0.088	1	SMC	Pard3bos1
Tnfrsf214	0.005028811	0.476161029	0.16	0.11	1	SMC	Tnfrsf21
Gm162012	0.00521007	0.275661459	0.137	0.09	1	SMC	Gm16201
Plekha22	0.00593382	0.450706729	0.278	0.225	1	SMC	Plekha2
Lmna1	0.006214435	0.286160319	0.266	0.207	1	SMC	Lmna
Rapgef21	0.006632559	0.558752762	0.494	0.493	1	SMC	Rapgef2
Zfp568	0.006887534	0.474838711	0.16	0.114	1	SMC	Zfp568
Hif1a1	0.007103805	0.427159033	0.259	0.212	1	SMC	Hif1a
Eif1	0.007358364	0.338014481	0.118	0.077	1	SMC	Eif1
Slc8a13	0.007501352	0.469786947	0.525	0.485	1	SMC	Slc8a1
Tdp1	0.008301174	0.455773719	0.11	0.072	1	SMC	Tdp1
Tanc13	0.00846292	0.539363963	0.361	0.321	1	SMC	Tanc1
Rarres2	0.0087225	0.318198547	0.118	0.077	1	SMC	Rarres2
AW5549181	0.009454249	0.372040057	0.422	0.387	1	SMC	AW554918
AC140209.1	0	5.210854501	0.924	0.006	0	nk_cell	AC140209.1
Skap11	0	4.561612096	0.825	0.015	0	nk_cell	Skap1
Klrk11	0	4.279264301	0.751	0.005	0	nk_cell	Klrk1
Gzma	0	3.68847083	0.31	0.001	0	nk_cell	Gzma
Ncr1	0	3.617050339	0.571	0.001	0	nk_cell	Ncr1
Kcnq53	0	3.612619019	0.639	0.067	0	nk_cell	Kcnq5
Ripor24	0	3.574731448	0.703	0.066	0	nk_cell	Ripor2
Prkcq	0	3.539318631	0.614	0.019	0	nk_cell	Prkcq
Stat41	0	3.533068646	0.592	0.011	0	nk_cell	Stat4
Txk	0	3.493312831	0.589	0.009	0	nk_cell	Txk
Il18rap	0	3.491551066	0.546	0.003	0	nk_cell	Il18rap
Ikzf3	0	3.387054215	0.568	0.01	0	nk_cell	Ikzf3
AC163354.11	0	3.367802776	0.343	0.008	0	nk_cell	AC163354.1
Clnk	0	3.280403796	0.513	0.003	0	nk_cell	Clnk
Klra4	0	3.27307067	0.263	0	0	nk_cell	Klra4
